,epoch,train_loss,dev_loss,test_loss,train_ppl,dev_ppl,test_ppl
0,1,6.213611414212135,5.670752750856833,5.623392772695169,271.91493988806616,290.25294032832414,276.82700286684724
0,2,5.520910157600534,5.373893962155047,5.3188735943875605,186.9904287058258,215.7011666726734,204.15379245260172
0,3,5.256205604129846,5.2095443827470165,5.152854208078309,147.58276380639725,183.01065638298107,172.92434869506442
0,4,5.076771976600653,5.1022190749196445,5.047719972537228,124.006878336307,164.38628834555644,155.66713421787478
0,5,4.93878435626323,5.025406531079077,4.966032894747296,107.40746703364755,152.2321306271949,143.45664939439908
0,6,4.827118621715004,4.967038039738422,4.90614211373365,95.17765995508896,143.60091661957466,135.11714105779828
0,7,4.730259253538032,4.924738690798587,4.863686422453174,85.86127262437348,137.65336685142753,129.50071760209707
0,8,4.64909634513658,4.887493743007707,4.826327696235572,78.10901874929574,132.62077544029063,124.75199122598359
0,9,4.574593955799621,4.858543992343995,4.7982501867992795,71.76474218222684,128.83647857791178,121.29798290078844
0,10,4.507804610816763,4.839983706847564,4.777173342829212,66.53431637097466,126.46729116247515,118.76815825300453
0,11,4.4477617301808925,4.819784734492648,4.757065482879613,61.812806449366086,123.93840824368117,116.40383516175613
0,12,4.391892829758568,4.8067922772899205,4.738647977652014,57.7016164453333,122.3385592684763,114.2795886258178
0,13,4.339677515551606,4.800140144141125,4.731293556705945,54.260100371637265,121.5274476851469,113.44221141208067
0,14,4.291438646090639,4.791145155839342,4.719616621789157,51.10455490474277,120.43921138865821,112.12525804591529
0,15,4.246494614215025,4.7855173519853675,4.7130069338680896,48.39101195229011,119.76330684368347,111.38658895748273
0,16,4.20399271123877,4.78249688953953,4.705177464528992,45.79927630724366,119.40211203525419,110.51789621366517
0,17,4.164553484795764,4.782063908447578,4.699450542234314,43.53632631809609,119.35042436910229,109.88677771810173
0,18,4.126402732715812,4.780348126009998,4.699801517076295,41.48880836231282,119.14582058503639,109.9253519814491
0,19,4.091119264092843,4.781750163985918,4.697568013160759,39.55344196826015,119.31298470801003,109.68010725685932
0,20,4.055210684558896,4.779244155331013,4.69296324582666,37.8267430784049,119.01435967043601,109.17621692101066
0,21,4.021054695167102,4.782941059687545,4.6950465828840615,36.232573782713914,119.45515866902362,109.40390487252986
0,22,3.990496994563188,4.783358606402721,4.6958723640546145,34.76954986510181,119.50504719280649,109.49428586948528
0,23,3.9607990203780425,4.788491837330409,4.696427430267561,33.41613934867647,120.12007137716058,109.5550793187161
