,epoch,train_loss,dev_loss,test_loss,train_ppl,dev_ppl,test_ppl
0,1,6.705485631825257,6.320391378336323,6.290055659432241,567.4790845866654,555.7904742409488,539.1833388879871
0,2,6.127104858328395,6.100025291567516,6.055473328121623,445.5484863178054,445.8690466670123,426.4407040698012
0,3,5.820644797844437,5.736127332429144,5.69799521968628,305.0383481164682,309.86209151898777,298.26883767961255
0,4,5.602588457787539,5.535873508033368,5.5040900638176256,243.50650514899024,253.62923808059787,245.6947873554691
0,5,5.432138468562851,5.443192655983627,5.405638079673617,215.4055438118747,231.17908178202856,222.65824886905054
0,6,5.300994647326908,5.334731932969438,5.298301876870972,187.85926003013688,207.41713965806665,199.9969020885799
0,7,5.189828967662766,5.235813913997017,5.204620157668125,164.54818634400476,187.88196388950936,182.1116859021275
0,8,5.097336420639654,5.224026316271399,5.19153954062075,157.88030489928025,185.680288603617,179.74506485527186
0,9,5.008095394252338,5.123099733404958,5.104717357099048,140.44303336479587,167.8548693955909,164.79748510917108
0,10,4.932693613526348,5.119706653888159,5.100839465881176,134.29853222652733,167.28628964011494,164.15965590438293
0,11,4.862617733601525,5.06318177630878,5.030654937290658,121.07326814370231,158.09273264099315,153.033207035525
0,12,4.796184191081816,5.0157604756757,4.987751017117606,112.73688506168075,150.770750668341,146.60633731266972
0,13,4.733623479409076,4.980353814184809,4.954470220460887,104.93848651386803,145.5258616600066,141.80745977846766
0,14,4.672996080692125,4.9534935312966155,4.930422506999263,98.53393534779214,141.66902558368284,138.4379910054317
0,15,4.614431587395424,4.939802378933442,4.912216752310313,94.20775545416747,139.74263074333174,135.9404269055344
0,16,4.56510361801586,4.922331371976666,4.895555660574289,87.86557480692383,137.32238985392257,133.69427461614805
0,17,4.5107669432023565,4.9021279045762896,4.874083934993851,82.38088458225302,134.57583976801644,130.85422731069895
0,18,4.46183628964767,4.933910976734532,4.903914257988773,82.17920053510922,138.92177108273455,134.81645462622572
0,19,4.415943769034292,4.8858416265072275,4.871172923697708,75.27881909012793,132.40185136271572,130.47386306775348
0,20,4.3638332253015015,4.863153252193138,4.835161217907467,69.61429681842796,129.431690074166,125.85887227537266
0,21,4.313965308239114,4.88077919254555,4.8638838353278455,67.8256727705291,131.73326948746444,129.52628523463778
0,22,4.269465331670764,4.86828632357446,4.849457507483888,64.57056013130058,130.09778026002223,127.67111043401249
0,23,4.224930357572188,4.874419750674812,4.8529004895610885,61.302159323241995,130.89817759133356,128.11143736290109
