,run,epoch,train_loss,dev_loss,test_loss,intent_acc_dev,intent_acc_test,intent_acc_train,f1_train,f1_dev,f1_test
0,0,1,3.3817,6.1788,6.2679,0.7369,0.7077,0.7364,0.0,0.0,0.0
0,0,2,3.1555,6.1505,6.2411,0.7369,0.7077,0.7364,0.0,0.0,0.0
0,0,3,3.1381,6.1253,6.217,0.7369,0.7077,0.7364,0.0,0.0,0.0
0,0,4,3.1225,6.1174,6.2095,0.7369,0.7077,0.7364,0.0,0.0,0.0
0,0,5,3.1083,6.0907,6.1834,0.7369,0.7077,0.7364,0.0,0.0,0.0
0,0,6,3.0942,6.0934,6.1871,0.7369,0.7077,0.7364,0.0,0.0,0.0
0,0,7,3.0796,6.0785,6.1733,0.7369,0.7077,0.7364,0.0,0.0,0.0
0,0,8,3.0663,6.0419,6.1383,0.7369,0.7077,0.7364,0.0,0.0,0.0
0,0,9,3.042,5.7931,5.8886,0.7369,0.7077,0.7364,0.2166,0.2304,0.1889
0,0,10,2.7513,4.2754,4.4447,0.7369,0.7077,0.7364,0.2393,0.2557,0.2219
0,0,11,2.5723,4.1954,4.3462,0.7369,0.7077,0.7364,0.2767,0.2741,0.2614
0,0,12,2.4811,4.0324,4.1706,0.757,0.7335,0.7605,0.2987,0.2935,0.2829
0,0,13,2.3764,3.8523,3.9665,0.7671,0.7402,0.7618,0.3884,0.3871,0.3612
0,0,14,2.2733,3.7377,3.8641,0.7671,0.7424,0.7625,0.4999,0.506,0.4437
0,0,15,2.1919,3.5254,3.669,0.8092,0.7794,0.8103,0.6098,0.6136,0.5803
0,0,16,2.0992,3.389,3.5358,0.8092,0.7794,0.8112,0.7144,0.725,0.6745
0,0,17,2.027,3.2649,3.4174,0.8173,0.785,0.8156,0.76,0.7679,0.7244
0,0,18,1.9641,3.1753,3.3479,0.8273,0.7895,0.8243,0.7959,0.8021,0.7769
0,0,19,1.9158,2.9997,3.1575,0.8775,0.8331,0.8819,0.822,0.8206,0.8011
0,0,20,1.8684,2.9192,3.1259,0.8855,0.8219,0.8868,0.8341,0.835,0.81
0,0,21,1.8351,2.8344,3.0346,0.9016,0.841,0.9,0.8402,0.8395,0.8094
0,0,22,1.8062,2.7811,2.9911,0.9076,0.8477,0.9103,0.852,0.8509,0.8266
0,0,23,1.778,2.7511,2.9515,0.9096,0.8522,0.9078,0.8632,0.8595,0.8302
0,0,24,1.7526,2.7049,2.9144,0.9137,0.8533,0.9114,0.8688,0.8632,0.8298
0,0,25,1.7242,2.6449,2.8753,0.9337,0.8667,0.925,0.8689,0.8644,0.8299
0,0,26,1.7008,2.6058,2.8275,0.9317,0.8645,0.9362,0.8761,0.8701,0.8395
0,0,27,1.6753,2.5526,2.7615,0.9418,0.8768,0.944,0.8811,0.8716,0.8436
0,0,28,1.6494,2.5325,2.7219,0.9418,0.8891,0.9455,0.8884,0.8779,0.8421
0,0,29,1.6281,2.475,2.6857,0.9458,0.8869,0.9475,0.8914,0.8843,0.849
0,0,30,1.603,2.4372,2.6409,0.9438,0.8858,0.9509,0.8982,0.8838,0.851
0,0,31,1.581,2.4099,2.6058,0.9478,0.8903,0.9516,0.9055,0.8914,0.8687
0,0,32,1.5599,2.361,2.5634,0.9538,0.8891,0.9554,0.916,0.9,0.8751
0,0,33,1.5324,2.3275,2.5106,0.9558,0.9048,0.9598,0.917,0.8994,0.8778
0,0,34,1.5118,2.2975,2.476,0.9558,0.9082,0.9614,0.9209,0.9024,0.8794
0,0,35,1.4897,2.2661,2.4507,0.9558,0.9048,0.9621,0.9241,0.906,0.8768
0,0,36,1.4717,2.245,2.4357,0.9598,0.8981,0.9632,0.9311,0.9094,0.8868
0,0,37,1.4492,2.1965,2.3565,0.9618,0.9183,0.9665,0.9357,0.9177,0.8905
0,0,38,1.4255,2.1726,2.3399,0.9578,0.9205,0.9705,0.9425,0.92,0.8931
