,run,epoch,train_loss,dev_loss,test_loss,intent_acc_dev,intent_acc_test,intent_acc_train,f1_train,f1_dev,f1_test
0,0,39,1.4057,2.1448,2.2944,0.9618,0.9261,0.9699,0.9413,0.919,0.8932
0,0,40,1.388,2.1016,2.2642,0.9699,0.9306,0.9806,0.9476,0.9222,0.8994
0,0,41,1.3695,2.0971,2.2311,0.9639,0.9306,0.9777,0.949,0.9206,0.9015
0,0,42,1.3492,2.0602,2.2046,0.9679,0.9373,0.9839,0.951,0.9227,0.8979
0,0,43,1.3291,2.0107,2.1556,0.9739,0.9429,0.985,0.954,0.9264,0.9054
0,0,44,1.3144,1.986,2.1353,0.9759,0.9462,0.985,0.9569,0.9275,0.9082
0,0,45,1.2943,1.9613,2.1076,0.9739,0.9485,0.9846,0.9574,0.9298,0.9022
0,0,46,1.2781,1.9391,2.0875,0.9739,0.9406,0.9848,0.9605,0.9321,0.9116
0,0,47,1.2613,1.9092,2.0546,0.9759,0.9418,0.9866,0.9632,0.932,0.9119
0,0,48,1.2449,1.8753,2.0219,0.9779,0.9451,0.9866,0.9614,0.9333,0.9047
0,0,49,1.2291,1.8769,1.996,0.9679,0.9496,0.9846,0.9628,0.934,0.9124
0,0,50,1.2129,1.8334,1.9878,0.9819,0.9485,0.9826,0.9626,0.9283,0.9143
0,0,51,1.1983,1.8139,1.9436,0.9759,0.9541,0.9864,0.9665,0.9309,0.9121
0,0,52,1.1816,1.8151,1.9652,0.9739,0.944,0.9877,0.9659,0.9286,0.9071
0,0,53,1.1697,1.7727,1.9023,0.9739,0.9429,0.9879,0.9649,0.9313,0.9188
0,0,54,1.1511,1.7556,1.8658,0.9759,0.9552,0.9888,0.9686,0.9313,0.918
0,0,55,1.1359,1.7352,1.8478,0.9739,0.9541,0.9859,0.9678,0.941,0.9133
0,0,56,1.1205,1.7027,1.8338,0.9759,0.9518,0.9893,0.9679,0.9392,0.9154
0,0,57,1.107,1.6746,1.814,0.9759,0.953,0.9891,0.971,0.94,0.919
0,0,58,1.0911,1.6649,1.8049,0.9759,0.9474,0.9882,0.9738,0.942,0.9187
0,0,59,1.0794,1.636,1.751,0.9779,0.9608,0.9908,0.975,0.9456,0.9199
0,0,60,1.0639,1.6189,1.7412,0.9799,0.9597,0.9915,0.9774,0.9488,0.9203
0,0,61,1.0484,1.5872,1.731,0.9839,0.9541,0.992,0.9761,0.9462,0.9231
0,0,62,1.0346,1.5858,1.7123,0.9779,0.9597,0.9926,0.9775,0.9474,0.9209
0,0,63,1.0209,1.5584,1.6835,0.9819,0.9597,0.9875,0.9787,0.9474,0.9191
0,0,64,1.0099,1.5711,1.6851,0.9719,0.9474,0.9893,0.9771,0.9453,0.9217
0,0,65,0.9969,1.525,1.6416,0.9779,0.9608,0.9929,0.9782,0.9474,0.9265
0,0,66,0.9823,1.514,1.6136,0.9759,0.9642,0.9929,0.9789,0.9489,0.924
0,0,67,0.9691,1.4894,1.611,0.9779,0.9619,0.9933,0.98,0.9459,0.9199
0,0,68,0.9569,1.4738,1.5764,0.9819,0.9664,0.9926,0.9798,0.9465,0.9277
0,0,69,0.9442,1.4677,1.5633,0.9759,0.9675,0.9931,0.9802,0.9463,0.9255
0,0,70,0.9311,1.4353,1.5524,0.9799,0.9608,0.9931,0.981,0.9504,0.9265
0,0,71,0.921,1.4142,1.5174,0.9799,0.972,0.9926,0.9795,0.9508,0.9208
0,0,72,0.9101,1.3915,1.5174,0.9839,0.9686,0.994,0.9802,0.9486,0.9232
0,0,73,0.8989,1.3805,1.5085,0.9859,0.9675,0.9935,0.9783,0.9475,0.9255
0,0,74,0.8893,1.3727,1.4865,0.9799,0.9664,0.9949,0.9808,0.9522,0.9247
0,0,75,0.8764,1.3463,1.4854,0.9819,0.9642,0.9938,0.9818,0.9525,0.9228
0,0,76,0.8654,1.3282,1.4529,0.9839,0.9675,0.9951,0.9791,0.9477,0.9247
0,0,77,0.8555,1.3124,1.4516,0.9859,0.963,0.9946,0.9813,0.9481,0.9228
0,0,78,0.8417,1.317,1.4125,0.9779,0.9709,0.9946,0.9812,0.9521,0.9286
0,0,79,0.8303,1.2979,1.3876,0.9799,0.9742,0.9953,0.9826,0.9513,0.9267
0,0,80,0.8182,1.2797,1.3871,0.9759,0.9731,0.9953,0.9823,0.9486,0.9293
0,0,81,0.8077,1.2597,1.3685,0.9819,0.9709,0.9944,0.9822,0.9505,0.9265
0,0,82,0.7981,1.2378,1.3639,0.9819,0.9675,0.994,0.9838,0.9527,0.9285
0,0,83,0.787,1.228,1.346,0.9799,0.9675,0.9955,0.9836,0.9522,0.9281
0,0,84,0.7788,1.1996,1.3398,0.9859,0.9664,0.9949,0.9819,0.9554,0.926
0,0,85,0.7688,1.2009,1.3225,0.9839,0.9664,0.9953,0.9826,0.9499,0.9248
0,0,86,0.7563,1.1775,1.3008,0.9819,0.972,0.9958,0.9839,0.9516,0.9259
0,0,87,0.745,1.1821,1.3333,0.9779,0.9608,0.9915,0.9843,0.9575,0.9255
0,0,88,0.7358,1.1755,1.2984,0.9779,0.963,0.9955,0.984,0.9557,0.9268
0,0,89,0.7252,1.1385,1.2746,0.9839,0.9675,0.9951,0.9854,0.958,0.9275
0,0,90,0.7162,1.1495,1.2681,0.9759,0.9642,0.9953,0.9857,0.9598,0.9296
0,0,91,0.7089,1.1264,1.2355,0.9799,0.972,0.9949,0.9856,0.9566,0.9286
0,0,92,0.7001,1.1186,1.2236,0.9799,0.9698,0.9962,0.9847,0.9566,0.9315
0,0,93,0.693,1.1166,1.218,0.9779,0.9675,0.9955,0.9845,0.9571,0.9298
0,0,94,0.6834,1.076,1.2006,0.9839,0.9698,0.996,0.9841,0.9545,0.9335
0,0,95,0.6748,1.0832,1.2072,0.9779,0.9653,0.9951,0.9849,0.9566,0.9281
0,0,96,0.6635,1.0558,1.1838,0.9819,0.9664,0.9962,0.9857,0.9584,0.9335
0,0,97,0.6537,1.0542,1.1569,0.9779,0.972,0.9958,0.9861,0.9598,0.936
0,0,98,0.6428,1.041,1.1601,0.9799,0.9653,0.996,0.9858,0.9561,0.9372
0,0,99,0.6344,1.0264,1.1416,0.9799,0.9686,0.9962,0.9875,0.9607,0.9348
0,0,100,0.6248,0.9959,1.1264,0.9819,0.9686,0.9958,0.9871,0.9599,0.9313
0,0,101,0.6205,0.9928,1.1175,0.9799,0.9698,0.9962,0.9871,0.9558,0.9304
0,0,102,0.613,0.9773,1.1187,0.9839,0.9653,0.99,0.9862,0.957,0.9332
0,0,103,0.6041,0.9599,1.0972,0.9819,0.972,0.9931,0.9863,0.9599,0.9299
0,0,104,0.5967,0.9496,1.1055,0.9839,0.9642,0.9962,0.9845,0.9596,0.9274
0,0,105,0.589,0.9435,1.1125,0.9859,0.9574,0.9944,0.9859,0.957,0.9271
0,0,106,0.5821,0.9305,1.0631,0.9859,0.9709,0.9962,0.9866,0.961,0.9316
0,0,107,0.5722,0.9099,1.0397,0.9859,0.972,0.9967,0.9883,0.9654,0.9343
0,0,108,0.5636,0.9197,1.0351,0.9819,0.9698,0.9924,0.9884,0.9634,0.9348
0,0,109,0.5572,0.9126,1.0259,0.9839,0.9698,0.9967,0.9887,0.9579,0.9363
0,0,110,0.5478,0.9006,1.0279,0.9799,0.9664,0.9953,0.9888,0.964,0.9339
0,0,111,0.5403,0.8795,1.0078,0.9839,0.9709,0.9973,0.9893,0.9616,0.9324
0,0,112,0.5336,0.8553,1.0121,0.9859,0.9664,0.9971,0.9888,0.9645,0.9327
0,0,113,0.5251,0.8691,0.9994,0.9819,0.9664,0.9964,0.9887,0.9661,0.931
0,0,114,0.5204,0.8556,0.987,0.9799,0.9675,0.9967,0.9882,0.9607,0.9328
0,0,115,0.5144,0.8422,0.9809,0.9819,0.9698,0.9944,0.9892,0.9664,0.9309
0,0,116,0.505,0.8308,0.9595,0.9819,0.9686,0.9969,0.9904,0.965,0.9338
0,0,117,0.4972,0.8227,0.9638,0.9819,0.9675,0.9971,0.9907,0.9685,0.9274
0,0,118,0.491,0.8462,0.9548,0.9759,0.9664,0.9971,0.9902,0.9609,0.9295
0,0,119,0.485,0.8127,0.9424,0.9819,0.9698,0.9975,0.9905,0.9661,0.9303
0,0,120,0.477,0.7839,0.9278,0.9819,0.9698,0.9971,0.9903,0.9673,0.9318
0,0,121,0.4698,0.7737,0.9149,0.9859,0.972,0.9973,0.9906,0.964,0.9322
0,0,122,0.4626,0.767,0.9026,0.9839,0.972,0.9978,0.9919,0.9649,0.9359
0,0,123,0.4545,0.7669,0.8989,0.9819,0.9709,0.998,0.9919,0.9614,0.936
0,0,124,0.4499,0.7537,0.9098,0.9819,0.9675,0.9978,0.9917,0.9617,0.9284
0,0,125,0.4488,0.7624,0.895,0.9819,0.9686,0.9971,0.9886,0.959,0.9285
0,0,126,0.4419,0.7281,0.9005,0.988,0.9642,0.9971,0.9905,0.9587,0.9327
0,0,127,0.4364,0.7168,0.8735,0.988,0.9675,0.9973,0.9899,0.9605,0.9332
