,run,epoch,train_loss,dev_loss,test_loss,intent_acc_dev,intent_acc_test,intent_acc_train,f1_train,f1_dev,f1_test
0,2,15,1.3937,1.2838,1.7324,0.8835,0.8085,0.869,0.6517,0.6582,0.5792
0,2,20,1.0022,0.9345,1.3623,0.9157,0.8499,0.9078,0.7561,0.768,0.7251
0,2,25,0.7659,0.7272,1.1317,0.9297,0.8567,0.933,0.8053,0.8057,0.7728
0,2,30,0.6158,0.5867,0.9766,0.9418,0.8757,0.9453,0.8377,0.8363,0.7997
0,2,35,0.5006,0.4826,0.8579,0.9478,0.8779,0.9554,0.8638,0.8582,0.8237
0,2,40,0.4147,0.4072,0.7734,0.9538,0.8813,0.965,0.8808,0.8714,0.8362
0,2,45,0.3479,0.352,0.7092,0.9558,0.8947,0.9746,0.8964,0.8813,0.8513
0,2,50,0.2918,0.3051,0.6466,0.9618,0.9104,0.981,0.9099,0.8925,0.8656
0,2,55,0.2479,0.2678,0.5962,0.9679,0.9138,0.9873,0.925,0.9094,0.8737
0,2,60,0.2132,0.2386,0.5561,0.9679,0.9261,0.9886,0.9358,0.9233,0.8871
0,2,65,0.1845,0.2182,0.5229,0.9679,0.9362,0.9915,0.9446,0.9316,0.8942
0,2,70,0.1614,0.1989,0.4931,0.9679,0.9351,0.9935,0.9544,0.9426,0.9035
0,2,75,0.1397,0.1823,0.4708,0.9699,0.9384,0.9944,0.962,0.9485,0.9091
0,2,80,0.1242,0.1691,0.4531,0.9719,0.9373,0.9953,0.9684,0.9537,0.9145
0,2,85,0.1075,0.1607,0.4437,0.9759,0.9373,0.9955,0.9726,0.9587,0.9185
0,2,90,0.0961,0.1511,0.4281,0.9719,0.9406,0.9962,0.9748,0.9617,0.9216
0,2,95,0.0859,0.1445,0.4203,0.9739,0.9395,0.9967,0.9782,0.9623,0.9248
0,2,100,0.0768,0.1376,0.4161,0.9719,0.9384,0.9978,0.9809,0.9632,0.9276
0,2,105,0.0693,0.1335,0.4129,0.9779,0.9406,0.9984,0.9829,0.9636,0.9293
0,2,110,0.0601,0.1302,0.4092,0.9779,0.9395,0.9987,0.9849,0.9642,0.9302
0,2,115,0.0551,0.1259,0.4022,0.9779,0.9418,0.9989,0.9867,0.9659,0.9317
0,2,120,0.0499,0.124,0.4036,0.9739,0.944,0.9991,0.9879,0.9674,0.9339
0,2,125,0.0448,0.1201,0.3985,0.9779,0.9451,0.9996,0.9897,0.968,0.9352
0,2,130,0.0402,0.1179,0.4005,0.9799,0.9429,0.9996,0.9908,0.9692,0.9378
0,2,135,0.036,0.114,0.399,0.9799,0.9451,0.9998,0.9929,0.9689,0.9383
0,2,140,0.032,0.1138,0.3959,0.9799,0.9474,0.9998,0.9941,0.971,0.9389
0,2,145,0.029,0.1141,0.3963,0.9779,0.9474,1.0,0.9949,0.9712,0.9392
0,2,150,0.0267,0.1147,0.3893,0.9779,0.9552,1.0,0.9953,0.9715,0.9389
0,2,155,0.0228,0.1117,0.395,0.9799,0.953,1.0,0.996,0.9719,0.9409
0,2,160,0.0219,0.1108,0.3875,0.9799,0.9541,1.0,0.9971,0.9724,0.9444
0,2,165,0.0201,0.112,0.395,0.9759,0.9563,1.0,0.9975,0.9721,0.9446
0,2,170,0.0178,0.1117,0.3887,0.9799,0.9608,1.0,0.998,0.9719,0.9431
0,3,5,2.685,2.6657,3.0234,0.7369,0.7077,0.7362,0.1345,0.1274,0.11
0,3,10,2.01,1.9262,2.3526,0.7691,0.7492,0.7717,0.4576,0.4481,0.3121
0,3,15,1.4148,1.3237,1.7648,0.8775,0.8175,0.8663,0.6313,0.6346,0.5284
0,3,20,1.0233,0.9625,1.3826,0.9096,0.8511,0.9067,0.754,0.7589,0.7006
0,3,25,0.7932,0.7504,1.1468,0.9197,0.8667,0.9252,0.8094,0.8113,0.7739
0,3,30,0.6359,0.6058,0.988,0.9277,0.8746,0.9373,0.8434,0.8405,0.7987
0,3,35,0.522,0.5006,0.8761,0.9357,0.8824,0.9469,0.8649,0.8595,0.8164
0,3,40,0.4383,0.4201,0.7913,0.9378,0.8869,0.9556,0.8833,0.8746,0.8376
0,3,45,0.3651,0.3609,0.721,0.9578,0.8947,0.967,0.8975,0.8874,0.8562
0,3,50,0.3089,0.3123,0.663,0.9598,0.9003,0.9783,0.9084,0.8941,0.8678
0,3,55,0.2661,0.2752,0.6112,0.9659,0.9183,0.9848,0.9206,0.9134,0.873
0,3,60,0.2261,0.2439,0.5679,0.9719,0.9272,0.9884,0.9314,0.9263,0.885
0,3,65,0.1948,0.2215,0.5433,0.9719,0.9351,0.9904,0.9414,0.9362,0.892
0,3,70,0.1712,0.2024,0.5067,0.9759,0.9418,0.9915,0.9516,0.9434,0.9014
0,3,75,0.1494,0.1855,0.4831,0.9759,0.9429,0.9935,0.959,0.9496,0.9094
0,3,80,0.1309,0.1768,0.4567,0.9779,0.9429,0.9949,0.9646,0.9517,0.9122
0,3,85,0.1145,0.1603,0.4373,0.9779,0.9451,0.9955,0.97,0.9588,0.9183
0,3,90,0.1011,0.1505,0.4324,0.9779,0.944,0.9962,0.9741,0.9624,0.9194
0,3,95,0.0913,0.143,0.413,0.9779,0.9462,0.9971,0.9776,0.965,0.9215
0,3,100,0.0818,0.1355,0.4054,0.9779,0.9485,0.998,0.9797,0.966,0.9221
0,3,105,0.0714,0.1279,0.3996,0.9779,0.9474,0.9984,0.9826,0.9672,0.9246
0,3,110,0.0642,0.122,0.3927,0.9819,0.9496,0.9991,0.9841,0.9683,0.9313
0,3,115,0.0592,0.1187,0.3982,0.9799,0.9474,0.9993,0.9857,0.9692,0.9313
0,3,120,0.0508,0.1121,0.3929,0.988,0.9496,0.9996,0.9875,0.9692,0.9337
0,3,125,0.0459,0.1119,0.3864,0.9859,0.9507,0.9996,0.9898,0.9704,0.9335
0,3,130,0.0419,0.1076,0.3911,0.9839,0.9518,0.9998,0.9913,0.971,0.9344
0,3,135,0.0364,0.1047,0.3851,0.9839,0.9496,0.9998,0.9924,0.9716,0.9356
0,3,140,0.0341,0.1056,0.387,0.9859,0.9485,0.9998,0.9933,0.9716,0.9355
0,3,145,0.0295,0.1014,0.3835,0.988,0.953,1.0,0.9936,0.9713,0.9369
0,3,150,0.0275,0.0998,0.3813,0.988,0.9563,1.0,0.9949,0.9701,0.9381
0,4,5,2.7081,2.6734,3.0318,0.7369,0.7077,0.7366,0.1468,0.14,0.121
0,4,10,2.0519,1.9517,2.3783,0.7771,0.7492,0.7708,0.4358,0.4374,0.2954
0,4,15,1.4398,1.3363,1.7892,0.8614,0.8074,0.8507,0.6253,0.6212,0.543
0,4,20,1.0319,0.9553,1.3993,0.9096,0.8421,0.9067,0.7569,0.7589,0.7206
0,4,25,0.7868,0.7354,1.1599,0.9257,0.8522,0.9246,0.8078,0.8133,0.7748
0,4,30,0.6237,0.5862,0.9921,0.9398,0.8757,0.9411,0.8399,0.8483,0.8004
0,4,35,0.508,0.4864,0.8828,0.9458,0.8813,0.954,0.8614,0.8649,0.8236
0,4,40,0.4208,0.4112,0.7886,0.9538,0.8869,0.965,0.8842,0.878,0.844
0,4,45,0.3526,0.3542,0.7128,0.9538,0.8914,0.9712,0.8999,0.8929,0.8579
0,4,50,0.2997,0.312,0.6566,0.9538,0.8992,0.9795,0.9134,0.9063,0.8723
0,4,55,0.2579,0.2816,0.6131,0.9578,0.9082,0.9837,0.926,0.9127,0.8819
0,4,60,0.2212,0.2537,0.567,0.9639,0.9194,0.9891,0.9378,0.9191,0.8908
0,4,65,0.1919,0.2301,0.5253,0.9618,0.925,0.9908,0.9484,0.9342,0.8957
0,4,70,0.1676,0.2126,0.494,0.9699,0.9373,0.9924,0.9552,0.946,0.9002
0,4,75,0.1471,0.1971,0.4668,0.9699,0.9362,0.9931,0.9611,0.9528,0.906
0,4,80,0.1306,0.1831,0.4547,0.9739,0.9384,0.9946,0.9659,0.9557,0.9136
0,4,85,0.1152,0.1731,0.4392,0.9719,0.9384,0.9951,0.9703,0.9579,0.9238
0,4,90,0.1014,0.1642,0.428,0.9739,0.9384,0.9955,0.975,0.9594,0.9279
0,4,95,0.0891,0.1533,0.4139,0.9739,0.9395,0.9969,0.9786,0.9621,0.9291
0,4,100,0.0802,0.1511,0.4091,0.9739,0.9418,0.9975,0.981,0.9656,0.9336
0,4,105,0.0703,0.1424,0.3999,0.9779,0.9395,0.9978,0.983,0.968,0.9344
0,4,110,0.0626,0.1404,0.3965,0.9759,0.9429,0.9982,0.985,0.9686,0.9363
0,4,115,0.0554,0.1299,0.3912,0.9799,0.9451,0.9996,0.9865,0.9707,0.9371
0,4,120,0.0502,0.1266,0.3943,0.9839,0.944,0.9996,0.9884,0.9704,0.9379
0,4,125,0.0453,0.1283,0.3799,0.9839,0.944,0.9996,0.9901,0.9719,0.9393
0,4,130,0.04,0.1257,0.3939,0.9819,0.9485,0.9996,0.9917,0.9713,0.9386
0,4,135,0.0367,0.1226,0.4059,0.9779,0.9474,0.9996,0.9925,0.9724,0.9397
0,4,140,0.0328,0.12,0.3809,0.9839,0.9485,0.9996,0.9938,0.9716,0.9398
